index	col	data
0	1	0.41680359510322523
0	2	0.5162876752057701
0	3	0.5048957307474672
0	4	0.26738777563975086
0	8	0.48301747178653426
1	1	0.5122932056626417
1	3	0.6205672299106341
1	8	0.5936766667075072
2	4	0.5707052524498741
2	14	0.8211549883098352
3	4	0.5048862585582906
3	7	0.46621627821471856
3	14	0.7264518207332316
4	4	1.0
5	0	0.5492913864502283
5	5	0.6360178869502786
5	16	0.54199651313536
6	4	0.5707052524498741
6	14	0.8211549883098352
7	1	0.6366234146642168
7	3	0.7711748361437065
8	0	1.0
9	0	0.5530333660868391
9	1	0.6295854449093398
9	16	0.5456887973497062
10	4	0.5048862585582906
10	7	0.46621627821471856
10	14	0.7264518207332316
11	4	0.5092741545395583
11	10	0.8606043431903061
12	1	0.4998932017987082
12	2	0.61920938792264
12	3	0.605546464529276
13	7	1.0
14	0	0.5423086444908964
14	1	0.6173761840734391
14	14	0.5698666347921815
15	5	0.8641199327245048
15	7	0.5032859444373519
16	7	0.5401111026473682
16	14	0.8415937243094462
17	4	1.0
18	4	1.0
19	0	0.48210372215277636
19	4	0.3520901873424625
19	5	0.558222098904616
19	7	0.32512308258786615
19	16	0.4757011357214494
20	4	0.43278006817345
20	5	0.686152033498408
20	16	0.5847194194806458
21	5	0.4595287254946233
21	7	0.2676414926310791
21	10	0.4897917412769513
21	13	0.5691721080921373
21	16	0.3915974251885979
22	0	0.5492913864502283
22	5	0.6360178869502786
22	16	0.54199651313536
23	7	0.4797468969785909
23	15	0.8774069265964415
24	7	0.5401111026473682
24	14	0.8415937243094462
25	7	1.0
26	3	0.8983350427434227
26	7	0.43931099574125515
27	7	0.5401111026473682
27	14	0.8415937243094462
28	1	0.42816844272374227
28	7	0.253640517086403
28	8	0.4961877515763279
28	13	0.5393973348020544
28	15	0.4638819926896669
29	5	0.8641199327245048
29	7	0.5032859444373519
30	7	1.0
31	13	0.6722224847591268
31	15	0.5781116917741124
31	16	0.4624973543906377
32	3	0.8983350427434227
32	7	0.43931099574125515
33	5	0.8641199327245048
33	7	0.5032859444373519
34	3	0.8837227420214503
34	4	0.46801080674925544
35	4	0.5707052524498741
35	14	0.8211549883098352
36	7	1.0
37	7	0.39136047238304655
37	17	0.9202374588420745
38	0	0.5980952755355652
38	5	0.6925273228830123
38	7	0.4033459413983541
39	7	1.0
40	0	0.49773506299845216
40	1	0.5666326306895069
40	8	0.6566485124477294
41	4	0.5214211000697129
41	7	0.48148469192108106
41	16	0.7044803246704283
42	7	0.5401111026473682
42	14	0.8415937243094462
43	13	0.8238448309298712
43	16	0.5668153972415818
44	2	0.49469917506375943
44	3	0.4837835832405602
44	7	0.23658372162309704
44	12	0.5738969825040062
44	14	0.3686415154508798
45	7	0.5401111026473682
45	14	0.8415937243094462
46	5	0.5538210998506795
46	13	0.6859626078187477
46	16	0.4719507283972414
47	4	0.5048862585582906
47	7	0.46621627821471856
47	14	0.7264518207332316
48	1	0.8603698968478543
48	7	0.5096701291992818
49	3	0.8837227420214503
49	4	0.46801080674925544
50	7	1.0
51	7	1.0
52	4	0.5048862585582906
52	7	0.46621627821471856
52	14	0.7264518207332316
53	1	0.5122932056626417
53	3	0.6205672299106341
53	8	0.5936766667075072
54	7	0.5642622455769202
54	16	0.8255956142182995
55	7	1.0
56	4	0.533482588276281
56	5	0.8458110474603887
57	4	0.5707052524498741
57	14	0.8211549883098352
58	4	1.0
59	0	0.5349171941201941
59	15	0.6597551082508574
59	16	0.5278132175035769
60	4	0.5707052524498741
60	14	0.8211549883098352
61	4	1.0
62	0	0.49812984937951105
62	4	0.36379439512670986
62	10	0.6147632541011226
62	16	0.49151442770129894
63	0	1.0
64	4	0.7346820089342178
64	7	0.6784116344435596
65	7	0.39136047238304655
65	17	0.9202374588420745
66	7	0.5401111026473682
66	14	0.8415937243094462
67	4	0.7346820089342178
67	7	0.6784116344435596
68	0	0.5349171941201941
68	15	0.6597551082508574
68	16	0.5278132175035769
69	6	1.0
70	0	0.5150867464769071
70	5	0.5964127458969735
70	7	0.3473663096126385
70	16	0.5082461284471954
71	7	0.5642622455769202
71	16	0.8255956142182995
72	3	0.8983350427434227
72	7	0.43931099574125515
73	5	0.6799688913296486
73	7	0.3960315839282532
73	14	0.617090991147341
74	4	0.7346820089342178
74	7	0.6784116344435596
75	7	0.5401111026473682
